date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:13	70247/70247	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/restaurant_menu/	quidely_landing/quidely_landing/127.0.0.1_8000/restaurant_menu/index.html	(from http://127.0.0.1:8000/)
09:31:13	26266/26266	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/submit_restaurant/	quidely_landing/quidely_landing/127.0.0.1_8000/submit_restaurant/index.html	(from http://127.0.0.1:8000/)
09:31:13	27747/27747	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/cart/	quidely_landing/quidely_landing/127.0.0.1_8000/cart/index.html	(from http://127.0.0.1:8000/)
09:31:15	4500/4500	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Dec%202015%2010:01:10%20GMT	http://127.0.0.1:8000/static/img/thumb_restaurant.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/thumb_restaurant.jpg	(from http://127.0.0.1:8000/)
09:31:15	25663/25663	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/cart_2/	quidely_landing/quidely_landing/127.0.0.1_8000/cart_2/index.html	(from http://127.0.0.1:8000/)
09:31:15	27734/27734	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/cart_3/	quidely_landing/quidely_landing/127.0.0.1_8000/cart_3/index.html	(from http://127.0.0.1:8000/)
09:31:15	26413/26413	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/cart_dt/	quidely_landing/quidely_landing/127.0.0.1_8000/cart_dt/index.html	(from http://127.0.0.1:8000/)
09:31:17	4500/4500	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Dec%202015%2010:01:02%20GMT	http://127.0.0.1:8000/static/img/thumb_restaurant_2.jpg	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/thumb_restaurant_2.jpg	(from http://127.0.0.1:8000/)
09:31:17	21594/21594	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/about/	quidely_landing/quidely_landing/127.0.0.1_8000/about/index.html	(from http://127.0.0.1:8000/)
09:31:17	55802/55802	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/faq/	quidely_landing/quidely_landing/127.0.0.1_8000/faq/index.html	(from http://127.0.0.1:8000/)
